,County,State,CENSUSTRACT,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,Food Desert Score,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,State/County FIPS Code,Alcohol Abuse,Alzheimer's Disease/Dementia,Arthritis ,Asthma,Atrial Fibrillation,Autism Spectrum Disorders,Cancer,Chronic Kidney Disease,COPD,Depression ,Diabetes,Drug Abuse/Substance Abuse,HIV/AIDS,Heart Failure,Hepatitis  (Chronic Viral B & C),Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke
1,Abbeville,South Carolina,270011702100,1,25417,9990,0,901,0.20355050000000002,1,1,1,3,2,2,3,133.5,286993,1,1,1,1,1,0,0,2,2670.97802653,4810.801136530001,2653.388364,1022.1692424800001,2292.32212648,1011.9025740000001,22908.399055,5.47942712,10098.238965,2.389387761,5202.2622918,1.2324186560000001,3748.0882586999996,0.910028877,16508.441376000002,4.020295159,5931.8973161,1.346204368,70.965975196,0.015524158999999997,5.000000179,0.001597444,53.45416366399999,0.013976289,338.64023227000007,0.081829701,221.12646718000002,0.051703545000000004,608.12921651,0.34843891499999996,1507.3140501000003,0.908475291,17314.36461,4.270243455,7220.222441699999,1.7704780169999998,3865.0307626000003,0.945121998,2805.0445338000004,0.7059729440000001,13543.924324,3.3694013309999997,3448.008961,0.819274854,51.37129366199999,0.012161533999999998,5.000000179,0.001597444,40.550173748,0.010690001,225.50985601,0.057118289999999995,143.24897146,0.035483041,335.33448884,0.221616171,1062.2171151,0.66634797,17.58966253,0.004193007,10.26666848,0.0024473579999999997,4.633035276,0.001104418,2.23022799,0.00053164,9.610471243,0.002290935,7.979191677999999,0.001902072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577092416,0.00041788,0.8567090279999999,0.000620354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11170,5787,4203,17691,7187,75,5,60,399,255,708,1663,45001,"28,180.20","22,667.30","15,886.10","23,816.90","25,889.70",0,"18,939.00","26,355.90","23,890.40","19,880.60","13,815.00","15,557.90",0,"26,288.10","36,081.00","13,171.60","13,278.50","18,557.40","18,744.90","25,286.20","25,109.90"
8,Adair,Oklahoma,200006884000,1,22683,8156,0,92,0.0202867,1,1,1,3,2,2,4,132.4,201731,1,1,1,1,1,0,0,2,2085.74931006,3747.03487156,876.7644224999999,1155.4657063299999,2282.4790931299995,564.8380012,20338.520024999998,4.494517551,11285.598538,2.4413904459999998,5623.6989134,1.235512754,2686.6327997999997,0.595469075,8948.2238853,2.043757971,41.977725161,0.008522953,114.912677073,0.023864103,0.9999999909999999,0.000206398,8756.5994083,1.8753696039999999,2475.8063369,0.5427965220000001,836.4776442,0.179760292,467.95679622,0.284226243,1669.9153489,1.00602388,17767.993590500002,3.9578094759999995,9682.620484199999,2.103663777,4869.3270892,1.0788488569999999,2283.3496836,0.510186522,7860.073407899999,1.819293546,38.195485296,0.007710716,90.720466557,0.018845953,0.9999999909999999,0.000206398,7673.6430144000005,1.6467540280000001,2104.36121688,0.464998837,656.05806608,0.141597431,370.25364132,0.227763862,1397.0690394,0.8505357149999999,1208.98488756,0.31501634800000006,590.62770513,0.14267446699999997,346.98252496,0.09439544999999999,185.34982798000001,0.049118492,624.15072303,0.174275807,7.000000053000001,0.001550887,0.548929776,0.000113298,0.0,0.0,467.7932947400001,0.113418926,109.49193978299999,0.025657430000000002,26.430379777999995,0.006362583000000001,27.172055315999998,0.017896745999999998,84.488100476,0.05718211299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12433,6357,2934,9757,55,130,1,9823,2917,1197,554,1894,40001,"25,033.00","24,902.30","15,608.40","20,481.60","21,261.30",0,"21,559.20","26,861.60","22,344.40","19,616.40","17,136.30","23,455.50",0,"27,374.60","19,370.40","17,219.20","15,700.00","19,140.60","18,273.00","26,695.80","30,823.00"
33,Aleutians East,Alaska,2013000100,0,3141,553,0,1726,0.5495065,1,1,1,3,1,1,1,16.4,63250,1,1,1,0,0,1,1,1,2203.00003,2203.00003,2045.0772140000001,1097.387178,1097.387178,1018.8253460000001,3048.207118,0.970457535,1473.4365400000002,0.469097912,360.5744912,0.114796081,151.5005289,0.048233215,637.9803927999999,0.20311378300000002,217.77990609999998,0.06933457700000001,1089.457316,0.34685046700000005,17.972487899999997,0.005721899999999999,863.9454499,0.275054266,221.07150479999999,0.070382523,364.6064139,0.11607972400000001,124.5264909,0.225183528,77.78461366,0.140659338,2970.725143,0.9457896029999999,1438.963276,0.45812266,348.9023755,0.11108003,146.63851730000002,0.046685297,623.6956184999999,0.19856594,217.0967741,0.069117088,1062.7350800000002,0.33834291,17.887096399999997,0.005694714,834.2013315,0.265584633,215.1091835,0.068484299,357.1773534,0.113714535,121.31704479999999,0.219379828,75.30954121,0.136183619,2203.00003,0.7013689999999999,1097.387178,0.349375096,219.99999619999997,0.070041387,97.99999907,0.031200254,507.9999964,0.161731931,210.0000062,0.066857691,787.9999922999999,0.250875515,17.00000041,0.005412289,515.9999958999999,0.16427889099999998,163.9999986,0.052212670999999995,280.0000028,0.089143586,93.88705173,0.16977767,54.15597856,0.097931245,2045.0772140000001,0.6510911220000001,1018.8253460000001,0.32436337,191.999996,0.061127028,92.99999906,0.029608405,418.863625,0.13335359,208.0000061,0.066220951,784.9999922000001,0.249920405,17.00000041,0.005412289,464.14236600000004,0.14776898,152.0711835,0.04841489400000001,274.0000028,0.08723336599999999,64.85923637,0.117286142,44.340431,0.080181611,1573,371,155,660,219,1130,19,876,237,385,124,84,2013,0,"9,087.40","14,919.80",0,0,0,0,"21,723.70",0,0,"13,456.90",0,0,0,0,"14,710.20","12,563.70","14,065.80",0,0,0
34,Aleutians West,Alaska,4032000300,0,5561,1212,0,2543,0.8543453999999999,1,1,1,3,1,0,1,22.799999999999997,153308,1,1,1,0,0,1,1,1,1196.13474155,1196.13474155,1185.0000109999999,463.186477877,463.186477877,459.9671071,4636.280132,1.7886837660000001,1518.6043961,0.630076838,701.8251018,0.285914489,170.54384714,0.08512474299999999,1723.4095614,0.571671977,278.48308705,0.083330337,1174.5750586,0.377947504,85.23242097699999,0.023784783,819.2773092,0.549669196,555.3026929299999,0.18227996400000002,610.42387011,0.176415331,161.92736997,0.416524106,73.66261847999999,0.164658909,3932.607322,1.627881022,1279.4979403000002,0.575436423,599.577439,0.262548936,154.16617534,0.081382131,1462.5236114,0.51205453,238.77868925,0.07425712,902.5680941,0.315788692,71.81030374699999,0.020717571,768.4400282,0.538051902,488.48658912999997,0.167011202,527.92046421,0.15756171900000002,139.5008316,0.392331508,63.86126204999999,0.15408570900000002,1196.13474155,1.002544509,463.186477877,0.388893584,204.871756174,0.17235111,75.443804769,0.063392558,293.33501945300003,0.24487249299999997,33.228387098,0.02728493,181.21758643100003,0.150946254,7.19020197,0.005950673000000001,589.2694481540001,0.49710801,91.89409249399999,0.07638220400000001,62.456773306,0.051194330999999996,99.61404062499999,0.349303649,35.130263752999994,0.123092172,1185.0000109999999,1.000000009,459.9671071,0.388157896,203.9999979,0.172151897,75.00000057,0.06329114,289.0000034,0.24388185899999998,32.00000045,0.02700422,178.00000590000002,0.150210975,7.0000001670000005,0.005907173000000001,588.9999956,0.49704641,89.99999953,0.075949367,60.00000001,0.050632910999999996,99.52380935,0.34920634899999997,35.059523399999996,0.123015872,1780,815,193,2004,332,1606,103,857,659,726,176,78,2016,0,"19,003.40","15,512.50",0,0,0,0,"22,351.50","25,082.60","16,311.40","14,193.80",0,0,0,0,"17,156.10","19,727.80","24,192.10",0,0,0
36,Alexander,North Carolina,259021282800,2,37198,14425,0,1161,0.18401109999999998,1,1,1,3,1,1,2,109.10000000000001,365171,2,2,2,2,2,0,0,1,7545.91818733,10868.68654033,7512.7464820000005,3208.9208700299996,4522.023556030001,3196.0342899999996,34105.062999,6.5252053619999995,14002.3068,2.59310828,7888.7851109,1.50220741,5046.8011305,0.966969035,30959.97023,5.9785572700000005,1517.2212773899998,0.26509728099999996,314.11203253199994,0.052375605000000006,10.818157519,0.0017994870000000002,82.89210612000001,0.015272944000000002,1220.04924326,0.212102784,1411.8213496099997,0.24178200600000002,512.10199025,0.259312447,1870.2032368,0.8906881130000001,29433.379966999997,5.813303529,11893.854277999999,2.270873801,6867.664424899999,1.34709769,4355.209043700001,0.862042991,27117.633702,5.39439649,975.2470232800001,0.18135991,273.445042642,0.046138744,8.087785107999999,0.001375746,66.330207217,0.012708832,992.6362275,0.177323812,1114.6216576699996,0.196295011,445.20436908,0.233650368,1619.5621233000002,0.7943460880000001,33.17170533,0.009543068,12.88658003,0.003707302,9.674729947000001,0.0027832940000000004,5.721698945,0.001646058,33.07566738,0.009515439,6.23e-06,1.79e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.096031802,2.7600000000000003e-05,0.024938283,7.17e-06,0.38540824,0.000280501,1.319604322,0.0009604110000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15125,8453,5627,33324,2043,360,12,98,1361,1601,539,1967,37003,"20,390.20","17,781.80","13,298.70","15,702.40","18,111.70",0,"17,647.00","20,217.00","20,614.40","15,409.00","12,640.00","27,085.70",0,"24,686.40","22,401.80","10,293.00","11,205.50","15,835.50","14,302.80","21,549.90","22,111.70"
39,Alger,Michigan,78009000600,0,9601,3898,0,1022,0.3310585,1,1,1,3,1,0,1,41.9,151019,3,3,1,0,0,3,1,1,3341.0167094999997,3341.0167094999997,857.6944656999999,1347.2945491,1347.2945491,314.8309942,8324.762148,2.629631191,3058.1352919,0.9723912100000001,1393.5282153,0.43968019699999994,1672.4436094999999,0.513481893,7138.636363,2.249652761,609.721868778,0.203727584,18.959554902999997,0.005969638,0.0,0.0,333.79349254000005,0.101066216,223.65087166,0.069214992,94.64778687,0.029689543000000006,181.60629704000002,0.145336304,459.734634,0.354216145,7682.298575999999,2.435984081,2823.7308314,0.902717869,1267.4872058,0.40102213899999994,1500.2963696,0.464586508,6556.652442999999,2.074464317,608.293483483,0.20335839699999997,16.555775675,0.005128208,0.0,0.0,296.94683178,0.08967497599999999,203.85004264999998,0.063358182,85.27132064,0.026859264,161.77750721,0.131557564,423.7718868,0.329965979,3341.0167094999997,1.105615232,1347.2945491,0.44908616,604.80505997,0.204312764,796.2291688,0.25432613400000004,3186.0943475,1.054802655,10.999999945999999,0.003708457,7.999999959999999,0.0024778839999999996,0.0,0.0,58.89377902,0.019685243,77.02858332,0.024940994,31.162417182,0.010043997,69.72139001,0.063136269,209.61147248,0.17722289800000002,857.6944656999999,0.247733945,314.8309942,0.091011254,113.71629172,0.0348409,306.69217154,0.085813007,822.2949244,0.237566269,1.999999895,0.0005169290000000001,4.37380538,0.0012348609999999999,0.0,0.0,8.016721788,0.0023772439999999997,21.009013895,0.006038640999999999,8.204381342,0.002212056,17.519780085,0.014327567,69.23679837,0.049341517,3232,1645,1975,8286,612,32,0,397,274,114,212,499,26003,"20,412.60","16,648.30","15,400.60","19,891.90","22,555.80",0,"23,512.70","22,819.30","20,582.50","15,292.20","12,853.00","19,901.40",0,"21,902.40",0,"13,889.60","13,759.10","16,925.50","18,865.20","30,326.70","32,399.90"
41,Allegan,Michigan,650126739118,9,111408,42018,0,954,0.1723083,1,1,1,3,1,1,5,350.5,1439846,7,9,7,9,7,0,0,1,20064.585790522,30250.485124,20064.585790522,5003.073026415001,8667.8578985,5003.073026415001,95534.205839,20.862133915,30392.256225899993,6.850372104000002,25062.718951099996,5.344627044000001,12119.765639800004,2.819389816,89182.226559,19.210139749000003,1073.142119398,0.264413319,518.5045207469999,0.13229405300000002,14.700255523,0.004155891,537.506778541,0.11738590200000003,4208.12560373,1.133744992,5910.6391801,1.729085591,1292.913908995,0.7272860640000001,4586.789729830001,2.688052269,74499.27660672198,15.992668384,22486.961648014996,5.013702365,19732.177298959,4.154010431,9001.384473110002,2.0314160000000006,69949.79231066599,14.836741942000002,622.5873511109999,0.145329318,367.613235367,0.089267997,13.000000453999998,0.003901064,402.410602385,0.08566542500000002,3143.873094273001,0.8317625480000002,4259.180050687,1.2024926249999999,802.2885245339999,0.469733171,3313.8835546380005,1.954256828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37735,29224,14438,103513,1358,648,22,636,5231,7454,1657,5528,26005,"24,713.60","19,604.40","15,137.60","21,309.40","23,354.80","3,440.60","20,871.50","22,941.40","22,158.90","17,173.10","15,188.80","24,573.30","22,709.60","25,205.50","27,773.40","14,066.10","14,014.70","18,091.80","19,000.60","21,985.90","27,923.40"
71,Anson,North Carolina,222047522100,1,26948,9755,0,2484,0.31568989999999997,1,1,1,3,4,4,6,132.9,236842,1,1,1,1,1,0,0,4,2267.3798313,4849.2122782999995,2185.142607,1292.204121751,2701.453425751,1247.652287,25536.127623,5.763161184,13189.4349955,3.0169845440000005,5673.2118289,1.3380691279999999,3531.1229620999998,0.819872554,12030.2143143,2.587546138,12400.408619200001,2.934592974,265.71742367700006,0.060443853,3.9999998810000004,0.000489117,163.93569958,0.035346,671.8515845100001,0.144743102,796.58173844,0.154628254,864.1596485,0.539481812,1936.1237469399998,1.11264954,21830.623225000003,4.971926080999999,10971.811017299999,2.520775988,4751.4222375,1.134613088,2919.4275267999997,0.695081075,10813.950827,2.360623585,10050.1873032,2.395379804,215.447952877,0.052041201999999995,3.9999998810000004,0.000489117,157.271085606,0.034076195000000004,589.76607059,0.129316178,732.8758756700001,0.14246362,623.7298844,0.392971453,1552.1097226400002,0.920176943,82.23722430000001,0.012733402000000001,44.551834751,0.00711098,20.909236285,0.003316747,10.440583649,0.0015076669999999999,55.90470531700001,0.008508998,19.55067745,0.0028340410000000003,0.071642356,1.224e-05,0.0,0.0,0.037621954,4.6e-06,6.672578109,0.001373518,5.539002834,0.00124444,1.4043673,0.0008416200000000001,6.255017614999999,0.003018711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12961,5966,3866,12707,13090,288,4,165,694,812,953,2051,37007,"21,650.10","20,902.30","15,105.00","24,735.50","23,087.40",0,"18,605.50","23,887.70","25,136.60","20,009.40","14,104.70","23,879.20","13,177.80","26,509.40","43,838.40","12,735.50","12,673.60","18,475.10","16,597.40","23,326.70","31,837.10"
78,Aransas,Texas,240039751500,3,23158,9795,0,459,0.07979889999999999,1,1,1,3,1,1,3,96.80000000000001,279119,2,3,2,3,2,0,0,1,7331.4015795000005,9830.929747229999,7328.1666136700005,3650.1199665330005,4297.247054805,3649.181503238,21597.5860424,4.287714949,9739.70209151,1.89652925,4307.72272282,0.824571294,5022.4990989,1.077032623,18781.5048425,3.7511380279999997,285.745849437,0.059649169,434.20855123499996,0.078622631,7.000000021,0.001340323,161.988242012,0.030133948,1927.138559136,0.36683087200000003,5521.94173149,1.051947519,445.39243471,0.267056791,1404.374550317,0.66163532,18181.882133670002,3.408444392,8673.800919238,1.6579194099999999,3740.8728367350004,0.7083356439999999,3965.3933639530005,0.7406335070000001,15765.80741486,2.94416921,231.2705284,0.050113765,315.576211398,0.05798181499999999,5.337675625,0.00105813,140.13155707,0.026735769,1723.758725784,0.32838566300000005,4951.6690353839995,0.9449011169999999,374.446645272,0.21955361099999998,1224.799131601,0.581335579,3.2349658299999997,0.0005765950000000001,0.938463295,0.000166535,0.008805475,1.4e-06,1.8991878039999999,0.000343597,3.2261603489999997,0.000575195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008805475,1.4e-06,0.20189749,3.2e-05,0.0,0.0,0.298619517,0.00011880000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10117,4523,5602,20231,303,455,8,171,1990,5690,423,1421,48007,"18,528.40","21,056.00","13,751.80","21,783.50","21,058.70",0,"17,522.10","19,866.20","19,518.60","19,126.60","13,261.80","23,052.40",0,"22,335.00","33,942.80","9,994.00","11,593.60","15,856.60","17,918.90","25,751.40","22,329.60"
84,Arlington,Virginia,3009774777558,59,207627,98050,1,2892,1.3944036999999998,0,3,0,3,2,10,9,466.59999999999997,7848252,3,33,3,33,3,0,0,10,4485.1088383569995,70522.24010543,4485.1088383569995,174.334440575,9899.971931787,174.334440575,70522.24010543,21.082053694,9899.971931787,2.883777313,13567.002666551,3.5464746550000004,7251.220089968004,1.9672174609999997,53044.346644057,16.066836005,6228.824931937999,1.8085987129999999,5641.479449734,1.6298059930000004,59.577181538,0.018023724,244.10277701,0.07358195699999999,5303.909153014999,1.4852073699999995,8299.326456466999,2.2986548550000006,2685.6302740040005,1.8717848380000002,1133.054964591,0.8820599709999999,4485.1088383569995,1.2384034439999998,174.334440575,0.03638538,1085.7377692869998,0.198416353,727.5408984540001,0.134661862,3968.8253516570007,1.145712693,176.641798826,0.030869898,153.279271954,0.028494498000000004,6.100861819,0.001249614,11.513078752,0.0020160860000000003,168.74850216599998,0.030060664999999997,226.591229637,0.042170111999999996,20.366857646,0.011925556,3.3468636929999995,0.0023064590000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38380,32626,18054,148970,17632,19931,171,971,19952,31382,11285,3468,51013,"23,522.60","20,358.20","14,138.90","19,094.70","24,625.90","12,160.10","19,289.70","24,659.90","23,032.30","19,403.30","13,801.90","26,727.20","12,633.50","28,511.60","16,857.20","12,075.50","13,189.10","17,902.70","15,281.70","20,508.40","29,633.30"
