State,Drug Abuse/Substance Abuse
Alabama,111006.8
Alaska,85221.3
Arizona,0.0
Arkansas,133115.1
California,73354.4
Colorado,192281.5
Florida,90686.40000000001
Georgia,544784.8999999999
Idaho,87354.1
Illinois,368658.1
Indiana,370833.1000000001
Iowa,204611.7
Kansas,238902.9
Kentucky,269378.0
Louisiana,141926.8
Maine,65534.399999999994
Maryland,56023.1
Michigan,225622.5
Minnesota,298097.0
Mississippi,259736.50000000003
Missouri,247304.2
Montana,188379.6
Nebraska,216585.6
Nevada,100492.3
New Mexico,127941.30000000002
New York,30956.4
North Carolina,322023.0999999999
North Dakota,61920.7
Ohio,241995.30000000002
Oklahoma,194614.3
Oregon,58324.6
Pennsylvania,113524.90000000001
South Carolina,72914.4
South Dakota,50149.1
Tennessee,375377.0
Texas,771889.7000000002
Utah,96068.6
Vermont,21031.8
Virginia,171344.6
Washington,84200.0
West Virginia,186824.10000000003
Wisconsin,161853.4
Wyoming,53031.9
