State,County,State/County FIPS Code,Alcohol Abuse,Alzheimer's Disease/Dementia,Arthritis ,Asthma,Atrial Fibrillation,Autism Spectrum Disorders,Cancer,Chronic Kidney Disease,COPD,Depression ,Diabetes,Drug Abuse/Substance Abuse,HIV/AIDS,Heart Failure,Hepatitis  (Chronic Viral B & C),Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke
National ,  ,  ,"25,641.40","24,128.10","16,096.90","23,361.00","25,358.60","8,370.00","20,451.80","25,862.10","26,039.50","20,889.50","16,085.70","27,517.70","19,234.10","29,187.00","26,553.20","13,908.80","14,598.60","19,526.10","19,370.30","25,990.10","32,205.40"
Alabama ,  ,  ,"21,541.20","20,458.10","13,461.10","19,518.80","20,781.50","6,344.70","17,904.20","21,635.40","21,189.90","17,531.50","13,381.10","19,816.60","14,992.90","23,330.80","22,184.70","11,503.70","11,907.80","15,972.10","16,413.90","22,502.10","26,116.90"
Alabama ,Autauga ,1001,"17,415.40","18,857.10","13,848.00","18,699.20","21,737.30",0,"18,210.90","22,049.80","21,621.70","17,920.00","12,954.40","25,691.00","11,276.10","24,212.90","28,462.30","11,513.10","12,269.00","15,418.20","19,541.70","20,022.60","24,239.80"
Alabama ,Baldwin ,1003,"20,484.50","18,071.30","12,252.10","17,315.20","18,829.60","11,436.70","16,638.70","19,921.60","19,485.80","16,188.60","11,931.70","17,520.60","18,052.10","21,967.90","14,020.00","10,159.30","10,958.50","13,703.10","14,808.70","24,602.80","23,378.30"
Alabama ,Barbour ,1005,"26,371.90","19,637.10","13,613.20","15,418.70","21,004.70",0,"15,206.80","22,073.70","20,523.30","17,280.50","12,949.80","28,442.50","20,956.90","25,380.90","25,781.40","10,549.20","11,303.30","17,270.00","17,323.80","19,889.00","23,519.20"
Alabama ,Bibb ,1007,"16,088.70","22,125.50","13,435.80","19,986.10","19,968.40",0,"17,652.40","20,331.70","20,528.00","17,537.60","14,072.80","24,931.30",0,"24,791.40","16,538.50","12,262.60","11,986.70","17,362.50","17,840.10","22,949.60","30,489.50"
Alabama ,Blount ,1009,"19,963.90","20,887.50","12,506.10","21,176.40","19,814.50",0,"19,628.00","21,482.90","21,108.50","16,360.10","12,571.20","16,723.10",0,"22,517.90","7,804.30","11,176.90","11,374.00","14,869.70","14,397.20","22,779.10","24,077.60"
Alabama ,Bullock ,1011,"23,212.20","25,080.80","13,577.30","20,814.90","23,251.60",0,"18,704.30","27,161.90","28,450.50","24,277.50","13,577.60","31,331.00",0,"25,018.70",0,"12,563.30","12,075.00","18,335.30","20,352.70","19,851.80","25,773.60"
Alabama ,Butler ,1013,"19,638.30","17,171.80","12,643.90","22,135.40","21,148.80",0,"18,253.70","21,776.90","18,120.00","16,565.70","12,823.50","23,622.60",0,"21,989.60","19,809.70","13,061.70","11,725.00","16,558.60","18,459.80","16,625.30","24,322.70"
Alabama ,Calhoun ,1015,"23,251.30","21,742.10","13,780.30","20,756.70","22,632.10",0,"19,263.90","22,558.60","22,508.90","18,278.80","14,112.10","20,742.90","25,285.30","23,007.60","21,814.20","11,881.80","12,307.10","15,943.70","15,177.20","24,314.00","28,166.80"
